町丁コード,区,町丁名,経度,緯度,総人口_累計,リスク加重人口_累計,最寄りAED距離_km,500m以内AED数
14132222004,幸区,塚越四丁目,139.681628,35.541662,64470,378393.15,0.09254527821037364,5
14132223000,幸区,古川町,139.682816,35.546107,38692,199588.22,0.062404955204883976,17
14132224000,幸区,下平間,139.680331,35.550624,85608,509023.63,0.06625790153255898,11
14132225001,幸区,鹿島田一丁目,139.67337,35.551359,33485,167044.96,0.08176015510442816,8
14132225002,幸区,鹿島田二丁目,139.671764,35.5545,23526,151838.24,0.15268659293122788,4
14132225003,幸区,鹿島田三丁目,139.669605,35.558501,27798,155213.13,0.3381416325484858,2
14132226001,幸区,小倉,139.673509,35.545849,36951,264483.73,0.06943570529619036,8
14132226101,幸区,小倉一丁目,139.670038,35.545277,24722,127628.27,0.1474224454755221,9
14132226102,幸区,小倉二丁目,139.667056,35.541864,26167,160809.3,0.1526956530970179,8
14132226103,幸区,小倉三丁目,139.670672,35.541275,37179,206936.57,0.08835036789578128,5
14132226104,幸区,小倉四丁目,139.670376,35.537528,38197,242486.18,0.18372123732283974,6
14132226105,幸区,小倉五丁目,139.665465,35.536885,28761,171295.76,0.06345863641187514,7
14132227001,幸区,南加瀬一丁目,139.665987,35.547205,26882,144616.15,0.056943239138589924,13
14132227002,幸区,南加瀬二丁目,139.66182,35.54793,34923,205669.54,0.06856126189492545,11
14132227003,幸区,南加瀬三丁目,139.663839,35.543324,45444,265873.69,0.14007867591887713,10
14132227004,幸区,南加瀬四丁目,139.658117,35.5451,60623,357049.2,0.26636431194190047,7
14132227005,幸区,南加瀬五丁目,139.659025,35.539572,42391,263197.9,0.27804479582651115,5
14132228001,幸区,北加瀬一丁目,139.667282,35.550218,45057,263480.16,0.22781208585668714,9
14132228002,幸区,北加瀬二丁目,139.661958,35.552534,38438,193894.75,0.1327822487007256,7
14132228003,幸区,北加瀬三丁目,139.661493,35.556028,34040,187806.97,0.2469573334508408,4
14132229000,幸区,矢上,139.658797,35.553913,11354,58215.97,0.2443671115074478,4
14132230000,幸区,新塚越,139.676887,35.549466,34590,210991.0,0.07741301081118711,11
14132231000,幸区,東小倉,139.675738,35.544951,28162,157470.84,0.2505555680523261,4
14132232000,幸区,新小倉,139.673883,35.541066,36332,131914.95,0.062304776623435636,2
14132233000,幸区,新川崎,139.670749,35.549474,42500,199895.45,0.2287352738046357,9
14133301001,中原区,小杉町一丁目,139.658604,35.579522,26894,145166.18,0.16710034190434558,22
14133301002,中原区,小杉町二丁目,139.656149,35.579408,62482,291476.86,0.11079325432440783,18
14133301003,中原区,小杉町三丁目,139.657245,35.57524,42636,219859.02,0.12913351822219268,21
14133302001,中原区,新丸子東一丁目,139.663177,35.580187,19686,113762.2,0.03845959101551533,13
14133302002,中原区,新丸子東二丁目,139.662362,35.57788,23018,122983.38,0.06385738539182033,24
14133302003,中原区,新丸子東三丁目,139.6614,35.574728,66963,355805.36,0.0823540657050911,15
14133303001,中原区,小杉御殿町一丁目,139.652594,35.583401,17693,94379.95,0.19150786835645056,13
14133303002,中原区,小杉御殿町二丁目,139.653263,35.580015,43733,234144.97,0.17197421192032988,14
14133304001,中原区,小杉陣屋町一丁目,139.658451,35.584962,32475,176273.01,0.15335564936525736,6
14133304002,中原区,小杉陣屋町二丁目,139.655773,35.585196,18718,113140.06,0.17183732034586321,9
14133305001,中原区,上小田中一丁目,139.631181,35.592883,62368,315589.84,0.17559348238907857,5
14133305002,中原区,上小田中二丁目,139.636366,35.588468,65953,343475.97000000003,0.20893732050218705,9
14133305003,中原区,上小田中三丁目,139.633179,35.586827,69511,334692.75,0.17963049804769768,8
14133305004,中原区,上小田中四丁目,139.640399,35.583628,0,0.0,0.2758644850757345,8
14133305005,中原区,上小田中五丁目,139.636617,35.582862,21358,116552.61,0.2737753823802939,9
14133305006,中原区,上小田中六丁目,139.644044,35.582341,60170,333221.78,0.20691601503833768,7
14133305007,中原区,上小田中七丁目,139.648818,35.581303,25753,128031.33,0.04624812014064738,6
14133307001,中原区,宮内一丁目,139.643326,35.59435,28111,140792.31,0.29384196764593346,7
14133307002,中原区,宮内二丁目,139.638089,35.591001,28568,147616.3,0.1230831771307474,9
14133307003,中原区,宮内三丁目,139.644122,35.590701,46053,235922.78,0.125666644015707,6
14133307004,中原区,宮内四丁目,139.645416,35.58601,39694,210225.08,0.08787289882013821,11
