西暦,町丁コード,都道府県,市区町村,行政区,町丁名,X_CODE,Y_CODE,性別,年齢5歳階級,将来推計人口
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,80～84歳,44
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,85～89歳,42
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,90～94歳,24
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,95～99歳,10
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,100歳以上,2
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,0～4歳,61
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,5～9歳,67
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,10～14歳,51
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,15～19歳,37
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,20～24歳,45
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,25～29歳,69
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,30～34歳,103
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,35～39歳,114
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,40～44歳,329
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,45～49歳,150
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,50～54歳,68
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,55～59歳,58
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,60～64歳,71
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,65～69歳,110
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,70～74歳,184
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,75～79歳,159
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,80～84歳,92
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,85～89歳,45
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,90～94歳,16
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,95～99歳,4
2060,14131002002,神奈川県,川崎市,川崎区,大師駅前二丁目,139.723248,35.534103,男,100歳以上,0
