町丁コード,区,町丁名,緯度,経度,総人口,高齢化率,後期高齢化率,高齢者人口,最寄りAED距離_km,最寄りAED名,500m以内AED数,1km以内AED数,高齢化率_norm,距離_norm,人口_norm,リスクスコア
11047,川崎区,藤崎４丁目,35.5243892,139.7221908,3636,27.118,15.594,986,0.08747105694918393,藤崎老人いこいの家,11,36,27.118,7.317300876452301,13.834969932252417,15.212811330256644
11049,川崎区,夜光１丁目,35.5282412,139.7534879,96,44.792,10.417,43,0.39780273302730706,三菱ケミカル物流株式会社川崎油槽所,3,8,44.792,33.4126899797887,0.3615741797975185,26.911148245854736
11050,川崎区,夜光２丁目,35.5239679,139.7450469,2,100.0,50.0,2,0.2574993082234071,入江崎余熱利用プール,5,15,100.0,21.614756526592714,0.0038060439978686153,38.64704442383645
11052,川崎区,四谷上町,35.5296902,139.7038971,5231,23.858,13.21,1248,0.003022594597393948,川崎区役所,38,72,23.858,0.2161389451332124,19.90561010885286,13.215538610709142
11053,川崎区,四谷下町,35.5296902,139.7038971,1466,20.464,12.142,300,0.003022594597393948,川崎区役所,38,72,20.464,0.2161389451332124,5.575854456877521,7.898411915116541
12001,川崎区,浅田１丁目,35.5069604,139.7049012,1413,27.389,14.437,387,0.1814006054525386,浅田小学校,5,20,27.388999999999996,15.215715074681619,5.374134124990485,15.91522626736979
12002,川崎区,浅田２丁目,35.5071935,139.702693,2178,28.65,16.208,624,0.02461228378402863,浅田小学校,6,17,28.65,2.0315879739442377,8.285757783359976,11.893362524585687
12003,川崎区,浅田３丁目,35.5073101,139.7000413,1990,31.307,18.392,623,0.1566430065885547,浅田こども文化センター,7,17,31.306999999999995,13.133880620059784,7.570221511760676,16.916718701552114
12004,川崎区,浅田４丁目,35.5044642,139.7004538,1820,22.527,12.857,410,0.14512359653817278,セブン‐イレブン　川崎浅田４丁目店,3,11,22.527,12.165228333884762,6.923194032123011,13.701149543190809
12005,川崎区,浅野町,35.5130508,139.7258586,6,50.0,16.667,3,0.27315845419178525,川崎クローム工業株式会社　南工場,2,14,50.0,22.931513849708836,0.019030219989343077,24.178314605880338
12006,川崎区,池上町,35.517079,139.7316229,743,26.245,13.863,195,0.17191390965278064,ＪＦＥ東日本ジーエス株式会社　池上メールセンター,2,16,26.245,14.417991099713138,2.8240846464185125,14.487921833810809
12007,川崎区,追分町,35.5193105,139.7147033,2569,24.757,11.833,636,0.17046452125834713,教育文化会館田島分館,9,48,24.757,14.29611390498848,9.773920986526605,16.077721857953374
