id,source,name,address,latitude,longitude
kawasaki_466,川崎市オープンデータ,栗木台小学校,麻生区栗木台5-15-1,35.61161833,139.4769604
kawasaki_467,川崎市オープンデータ,四谷小学校,川崎区四谷下町4-1,35.52678178,139.7376714
kawasaki_468,川崎市オープンデータ,大師小学校,川崎区東門前2-6-1,35.53359183,139.7354856
kawasaki_469,川崎市オープンデータ,川中島小学校,川崎区川中島2-4-19,35.53105594,139.7259571
kawasaki_471,川崎市オープンデータ,さくら小学校,川崎区桜本1-9-15,35.52062086,139.7219702
kawasaki_502,川崎市オープンデータ,菅生小学校,宮前区菅生1-5-1,35.59803856,139.5568163
kawasaki_473,川崎市オープンデータ,東小田小学校,川崎区小田5-11-20,35.51215811,139.7070079
kawasaki_476,川崎市オープンデータ,幸町小学校,幸区中幸町2-17,35.53822567,139.6939274
kawasaki_477,川崎市オープンデータ,古川小学校,幸区古川町70,35.54644861,139.6811204
kawasaki_478,川崎市オープンデータ,南加瀬小学校,幸区南加瀬4-24-1,35.54302381,139.6595855
kawasaki_479,川崎市オープンデータ,梶ケ谷小学校,高津区梶ケ谷4-12,35.586163,139.6041456
kawasaki_480,川崎市オープンデータ,久本小学校,高津区久本3-11-3,35.59515439,139.6178843
kawasaki_481,川崎市オープンデータ,下作延小学校,高津区下作延5-19-1,35.60315869,139.6006518
kawasaki_482,川崎市オープンデータ,高津小学校,高津区溝口4-19-1,35.60511861,139.6137861
kawasaki_474,川崎市オープンデータ,田島小学校,川崎区渡田1-20-1,35.52192969,139.7083028
kawasaki_311,川崎市オープンデータ,平間公園（児童プール）,中原区上平間1298,35.55785208,139.6773706
kawasaki_503,川崎市オープンデータ,稗原小学校,宮前区水沢3-7-1,35.59542386,139.5426447
kawasaki_526,川崎市オープンデータ,川崎中学校,川崎区下並木50,35.52283519,139.6888612
kawasaki_527,川崎市オープンデータ,西生田中学校,麻生区高石3-25-1,35.61585344,139.5192681
kawasaki_528,川崎市オープンデータ,長沢中学校,麻生区東百合丘4-12-1,35.59796811,139.5241818
kawasaki_529,川崎市オープンデータ,王禅寺中央中学校,麻生区王禅寺東4-14-2,35.58635914,139.5139335
kawasaki_530,川崎市オープンデータ,金程中学校,麻生区金程3-16-1,35.61373122,139.4992854
kawasaki_531,川崎市オープンデータ,麻生中学校,麻生区上麻生4-39-1,35.59633817,139.5039463
kawasaki_533,川崎市オープンデータ,京町中学校,川崎区京町3-19-11,35.509622,139.6960373
kawasaki_534,川崎市オープンデータ,大師中学校,川崎区大師河原2-1-1,35.53532883,139.7386509
kawasaki_535,川崎市オープンデータ,南大師中学校,川崎区四谷上町24-1,35.5283505,139.7365636
kawasaki_536,川崎市オープンデータ,川中島中学校,川崎区藤崎2-19-1,35.52705839,139.7218366
kawasaki_537,川崎市オープンデータ,桜本中学校,川崎区池上新町1-2-4,35.52319167,139.7270503
kawasaki_538,川崎市オープンデータ,田島中学校,川崎区小田2-21-7,35.51283886,139.6984736
kawasaki_524,川崎市オープンデータ,臨港中学校,川崎区浜町2-11-22,35.51437606,139.7158247
kawasaki_523,川崎市オープンデータ,東橘中学校,高津区子母口730,35.56969725,139.6325861
kawasaki_522,川崎市オープンデータ,野川中学校,宮前区西野川2-2-1,35.57380567,139.606113
kawasaki_508,川崎市オープンデータ,宮崎小学校,宮前区馬絹1-30-9,35.57953463,139.5879958
kawasaki_510,川崎市オープンデータ,苅宿小学校,中原区苅宿25-1,35.56245936,139.6633395
kawasaki_511,川崎市オープンデータ,住吉小学校,中原区木月祗園町17-1,35.56826236,139.6535496
kawasaki_512,川崎市オープンデータ,下小田中小学校,中原区下小田中3-35-1,35.57163789,139.6403602
kawasaki_504,川崎市オープンデータ,土橋小学校,宮前区土橋3-1-11,35.58283142,139.5755892
kawasaki_513,川崎市オープンデータ,東高津小学校,高津区北見方2-5-1,35.60160667,139.6279501
kawasaki_515,川崎市オープンデータ,はるひ野小学校,麻生区はるひ野4-8-1,35.61776033,139.4610845
kawasaki_516,川崎市オープンデータ,小杉小学校,中原区小杉町2-295-1,35.58017072,139.6569373
kawasaki_520,川崎市オープンデータ,平間中学校,中原区上平間1368,35.55847747,139.6782245
kawasaki_514,川崎市オープンデータ,中野島小学校,多摩区中野島3-12-1,35.62919436,139.5517491
kawasaki_475,川崎市オープンデータ,東小倉小学校,幸区東小倉1-1,35.54703,139.67467
kawasaki_308,川崎市オープンデータ,中原区役所道路公園センター,中原区下小田中2-9-1,35.57775269,139.6407811
kawasaki_99,川崎市オープンデータ,井田老人いこいの家,中原区井田三舞町14-16,35.56872278,139.6473526
kawasaki_100,川崎市オープンデータ,丸子多摩川老人いこいの家,中原区丸子通1-639-3,35.58203669,139.6632533
kawasaki_101,川崎市オープンデータ,高津老人いこいの家,高津区久本3-6-22,35.59874619,139.6178862
kawasaki_102,川崎市オープンデータ,上作延老人いこいの家,高津区上作延5-26-55,35.59619928,139.6001349
kawasaki_103,川崎市オープンデータ,子母口老人いこいの家,高津区子母口983,35.56985017,139.6277141
kawasaki_104,川崎市オープンデータ,末長老人いこいの家,高津区末長2-27-2,35.5888125,139.6115884
kawasaki_105,川崎市オープンデータ,梶ケ谷老人いこいの家,高津区梶ケ谷5-8-27,35.58286678,139.6063852
kawasaki_106,川崎市オープンデータ,東高津老人いこいの家,高津区下野毛1-3-2,35.59744308,139.6366897
kawasaki_107,川崎市オープンデータ,くじ老人いこいの家,高津区久地3-16-1,35.60811458,139.6056771
kawasaki_108,川崎市オープンデータ,平老人いこいの家,宮前区平2-13-1,35.60187842,139.5748751
