台帳番号,設置場所,設置位置,郵便番号,住所,24時間365日利用可能か,利用開始時間,利用終了時間,使用可能な曜日,使用可能日・使用可能時間帯の補足,使用対象者の範囲,緯度,経度,,,
352,生田浄水場,1階管理棟,214-0038,多摩区生田1-1-1,365日24時間使用可ではない,8時30分,17時00分,平日,,外部の使用も認める,35.62469,139.54136,,,
353,入江崎水処理センター,１Ｆ　玄関脇,210-0826,川崎区塩浜3-17-1,365日24時間使用可ではない,8時30分,17時00分,平日,,外部の使用も認める,35.51943592,139.7402591,,,
354,加瀬水処理センター,管理棟2階中央監視室,212-0055,幸区南加瀬4-40-22,365日24時間使用可ではない,8時30分,17時00分,平日,,外部の使用も認める,35.54242833,139.6558447,,,
355,加瀬ふれあいの広場,管理室,212-0055,幸区南加瀬4-40-22,365日24時間使用可ではない,8時00分,17時00分,火〜日,"閉鎖日は毎週月曜日
※月曜日が祝日の場合は翌日、翌日も祝日の場合は翌々日が閉鎖日",外部の使用も認める,35.54242833,139.6558447,,,
356,等々力水処理センター,管理棟2階,211-0051,中原区宮内3-22-1,365日24時間使用可ではない,8時30分,17時00分,平日,,外部の使用も認める,35.5909415,139.646022,,,
357,麻生水処理センター,管理棟玄関,215-0021,麻生区上麻生6-15-1,365日24時間使用可ではない,8時30分,17時15分,平日,,外部の使用も認める,35.58396189,139.4953103,,,
358,あさおふれあいの丘,管理人詰所,215-0021,麻生区上麻生6-15-1,365日24時間使用可ではない,8時,"18時（3月〜10月）
16時（11月〜2月）","火曜-日曜
休日の月曜",年末年始は使用不可,外部の使用も認める,35.58396428,139.4953856,,,
359,入江崎総合スラッジセンター,管理棟玄関,210-0826,川崎区塩浜3-24-12,365日24時間使用可ではない,8時30分,17時00分,平日,,外部の使用も認める,35.52194167,139.7436018,,,
360,水運用センター,事務室,216-0005,宮前区土橋3-1-1,365日24時間使用可ではない,8時30分,17時15分,平日,,外部の使用も認める,35.58158992,139.573162,,,
361,塩浜営業所,2階事務室,210-0826,川崎区塩浜2-2-1,365日24時間使用可ではない,5時00分,0時00分,日・月・火・水・木・金・土,バス運行終了後及び年末年始（12月29日〜1月3日）は使用不可,外部の使用も認める,35.5258985,139.7417469,,,
362,上平間営業所,1階事務室,211-0013,中原区上平間1140,365日24時間使用可ではない,5時00分,0時00分,日・月・火・水・木・金・土,バス運行終了後及び年末年始（12月29日〜1月3日）は使用不可、販売窓口営業時間外は当番職員が対応,外部の使用も認める,35.55615186,139.6801277,,,
363,井田営業所,2階事務室,213-0024,高津区明津98,365日24時間使用可ではない,5時00分,0時00分,日・月・火・水・木・金・土,バス運行終了後及び年末年始（12月29日〜1月3日）は使用不可、販売窓口営業時間外は当番職員が対応,外部の使用も認める,35.56576072,139.6383767,,,
364,鷲ケ峰営業所,1階事務室,216-0014,宮前区菅生ケ丘41-1,365日24時間使用可ではない,5時00分,0時00分,日・月・火・水・木・金・土,バス運行終了後及び年末年始（12月29日〜1月3日）は使用不可、販売窓口営業時間外は当番職員が対応,外部の使用も認める,35.59824547,139.5388869,,,
365,交通局管理課,管理課書棚,210-0006,川崎区砂子1-8-9御幸ビル9階,365日24時間使用可ではない,8時30分,17時15分,月・火・水・木・金,年末年始（12月29日〜1月3日）は使用不可,外部の使用も認める,35.53088435,139.7016499,,,
366,川崎病院,泌尿器科外来,210-0013,川崎区新川通12-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.52665736,139.7057979,,,
367,川崎病院,循環器科外来,210-0013,川崎区新川通12-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.52665736,139.7057979,,,
368,川崎病院,15階食堂内,210-0013,川崎区新川通12-1,365日24時間使用可ではない,"9:30
11:00","16:00
16:00","月火水木金
土日祝",,外部の使用も認める,35.52665736,139.7057979,,,
369,川崎病院,7階面会者用エレベーター前,210-0013,川崎区新川通12-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.52665736,139.7057979,,,
370,川崎病院,警備室横,210-0013,川崎区新川通12-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.52665736,139.7057979,,,
371,川崎病院,11階北病棟,210-0013,川崎区新川通12-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.52665736,139.7057979,,,
372,川崎病院,13階北病棟,210-0013,川崎区新川通12-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.52665736,139.7057979,,,
373,多摩病院,地下1階駐車場,214-8525,多摩区宿河原1-30-37,365日24時間使用可,-,-,-,,外部の使用も認める,35.61971789,139.5724846,,,
374,多摩病院,1階総合受付ホール再来受付機横,214-8525,多摩区宿河原1-30-37,365日24時間使用可,-,-,-,,外部の使用も認める,35.61971789,139.5724846,,,
375,井田病院,地下EVホール横,211-0035,中原区井田2-27-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.55946628,139.640818,,,
376,井田病院,2階EVホール横,211-0035,中原区井田2-27-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.55946628,139.640818,,,
377,井田病院,1階採血室前,211-0035,中原区井田2-27-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.55946628,139.640818,,,
378,井田病院,PCU,211-0035,中原区井田2-27-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.55946628,139.640818,,,
379,消防訓練センター,音楽隊事務所内,216-0011,宮前区犬蔵1-10-2,365日24時間使用可ではない,8時30分,17時15分,平日,,外部の使用も認める,35.588888,139.563808,,,
380,消防訓練センター,屋内訓練場玄関,216-0011,宮前区犬蔵1-10-2,365日24時間使用可ではない,8時30分,17時15分,平日,,外部の使用も認める,35.588822,139.564766,,,
381,臨港消防署,1階受付,210-0832,川崎区池上新町3-1-5,365日24時間使用可,-,-,-,,外部の使用も認める,35.52229622,139.7315224,,,
382,川崎消防署・消防局総合庁舎（川崎消防署）,1階EV前,210-0015,川崎区南町20-7,365日24時間使用可,-,-,-,,外部の使用も認める,35.52542678,139.6992136,,,
383,幸消防署,1階受付,212-0005,幸区戸手2-12-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.54395639,139.6923514,,,
384,中原消防署,1階受付,211-0004,中原区新丸子東3-1175-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.57457125,139.6625248,,,
385,高津消防署,1階受付,213-0002,高津区二子5-14-5,365日24時間使用可,-,-,-,,外部の使用も認める,35.60151347,139.6192397,,,
386,宮前消防署,1階受付,216-0006,宮前区宮前平2-20-4,365日24時間使用可,-,-,-,,外部の使用も認める,35.58959122,139.5798833,,,
387,多摩消防署,1階受付,214-0032,多摩区枡形2-6-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.61795669,139.5572675,,,
388,麻生消防署,1階受付,215-0004,麻生区万福寺1-5-4,365日24時間使用可,-,-,-,,外部の使用も認める,35.60329692,139.5053626,,,
389,稲田中学校,保健室前,214-0021,多摩区宿河原4-1-1,365日24時間使用可ではない,8時00分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.61901964,139.5795371,,,
390,川崎高校,3階西側階段,210-0806,川崎区中島3-3-1,365日24時間使用可ではない,8時30分,22時,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.52688944,139.7148387,,,
391,川崎高校,3階定時制棟,210-0806,川崎区中島3-3-1,365日24時間使用可ではない,8時30分,22時,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.52688944,139.7148387,,,
392,健康教育課,南庁舎７階,210-0005,川崎区東田町5-4,365日24時間使用可ではない,8時30分,17時15分,月火水木金,平日でもAEDを利用できない場合があります。,施設利用者・職員のみ,35.53010822,139.702469,,,
393,健康教育課,南庁舎７階,210-0005,川崎区東田町5-4,365日24時間使用可ではない,8時30分,17時15分,月火水木金,平日でもAEDを利用できない場合があります。,施設利用者・職員のみ,35.53010822,139.702469,,,
394,健康教育課,南庁舎７階,210-0005,川崎区東田町5-4,365日24時間使用可ではない,8時30分,17時15分,月火水木金,平日でもAEDを利用できない場合があります。,施設利用者・職員のみ,35.53010822,139.702469,,,
395,健康教育課,南庁舎７階,210-0005,川崎区東田町5-4,365日24時間使用可ではない,8時30分,17時15分,月火水木金,平日でもAEDを利用できない場合があります。,施設利用者・職員のみ,35.53010822,139.702469,,,
396,健康教育課,南庁舎７階,210-0005,川崎区東田町5-4,365日24時間使用可ではない,8時30分,17時15分,月火水木金,平日でもAEDを利用できない場合があります。,施設利用者・職員のみ,35.53010822,139.702469,,,
397,岡上小学校,３階職員玄関外,215-0027,麻生区岡上675-1,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",課業日、施設開放実施日は使用可,外部の使用も認める,35.57900867,139.4830058,,,
398,白幡台小学校,職員玄関外,216-0024,宮前区南平台13-1,365日24時間使用可ではない,8時,２１時,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.59563417,139.5677137,,,
399,末長小学校,１階体育館前昇降口,231-0013,高津区末長3-8-1,365日24時間使用可ではない,8時25分,16時55分,月火水木金,教職員不在時は施設開放登録団体責任者による対応は可能,外部の使用も認める,35.59037467,139.6193014,,,
400,野川小学校,1階体育館前ピロティ,216-0044,宮前区西野川2-19-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,土日祝日は学校施設開放時なら使用可能 年末年始は使用不可,外部の使用も認める,35.57366231,139.6100248,,,
401,宮前平小学校,職員玄関,216-0006,宮前区宮前平3-14-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.58899108,139.5858951,,,
402,犬蔵小学校,2階職員室前廊下,216-0011,宮前区犬蔵1-3-1,365日24時間使用可ではない,8時10分,16時40分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.59130847,139.5656288,,,
403,平小学校,校庭側校舎中央付近,216-0022,宮前区平6-5-1,365日24時間使用可ではない,8時00分,21時00分,"月火水木金
土日",施設開放を実施していない場合の、課業日は１７時まで、休業日は使用不可。年末年始・閉庁日は、使用不可。,外部の使用も認める,35.59527478,139.5799669,,,
404,橘小学校,校庭側壁,213-0022,高津区千年1024,365日24時間使用可ではない,8時30分,21時00分,月火水木金,施設開放を利用していない場合の使用可能時間は１７時まで,外部の使用も認める,35.58121233,139.6215156,,,
405,久地小学校,1階職員玄関,213-0032,高津区久地4-2-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.61128614,139.6001297,,,
406,宮崎台小学校,職員玄関,216-0033,宮前区宮崎3-18-2,365日24時間使用可ではない,8時30分,21時00分,"【月火水木金
土日】",【平日１７時以降及び土日祝については、施設開放団体の利用がない場合は使用不可。】,外部の使用も認める,35.59246919,139.5895159,,,
407,宿河原小学校,1階渡り廊下,214-0021,多摩区宿河原2-1-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,施設開放を実施していない場合の利用時間は17時まで,外部の使用も認める,35.61648431,139.5746211,,,
408,南原小学校,体育館入口,213-0034,"高津区上作延
3-9-1",365日24時間使用可ではない,8時30分,21時00分,月火水木金,学校課業日8時半〜17時は使用可。学校閉庁日及び年末年始12月28日〜1月４日は使用不可。但し、施設開放が利用している場合は21時（土日は9時〜21時）まで使用可。,外部の使用も認める,35.59696289,139.5894144,,,
409,子母口小学校,職員玄関,213-0023,高津区子母口730,365日24時間使用可ではない,6時,21時,月火水木金,施設管理者受付対応,外部の使用も認める,35.56969917,139.6323752,,,
410,新作小学校,1階ピロティ,213-0014,高津区新作1-9-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,一般の人は、門が開いていなければ、17時まで。施設開放団体が使用していれば、上記のとおり。,外部の使用も認める,35.58746364,139.6112795,,,
411,西梶ケ谷小学校,職員玄関,213-0015,高津区梶ケ谷2-14-1,365日24時間使用可ではない,8時30分,20時30分,月火水木金,"学校稼業日のみ使用可。
施設開放の実施時間により変更あり。",外部の使用も認める,35.58798781,139.6022841,,,
412,稲田小学校,1階体育館入口,214-0021,多摩区宿河原3-18-1,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",土、日は施設開放等で開錠している場合に限る,外部の使用も認める,35.61307736,139.5795398,,,
413,下布田小学校,職員玄関前,214-0011,多摩区布田23-1,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日","年末年始29日〜3日は使用不可
門の鍵があれば一年中使用可",外部の使用も認める,35.631587,139.5466497,,,
414,東菅小学校,職員玄関横,214-0004,多摩区菅馬場2-19-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,正門のカギがあれば使用可能,外部の使用も認める,35.62685606,139.5365424,,,
415,南菅小学校,職員昇降口,214-0004,多摩区菅馬場3-25-1,365日24時間使用可ではない,8時25分,21時00分,月火水木金,施設開放を実施していない場合は17時まで。門扉に鍵有。収納ボックス鍵無し。,外部の使用も認める,35.6229255,139.5321243,,,
416,三田小学校,玄関脇,214-0034,多摩区三田3-6-4,365日24時間使用可ではない,8時30分,21時30分,"月火水木金
土日",年末年始(12/29‾1/3)は使用不可、平日は７：３０から使用可、設置箱に鍵はないので誰でも自由に取り出せる,外部の使用も認める,35.61009758,139.5461727,,,
417,生田小学校,職員玄関,214-0038,多摩区生田7-22-1,365日24時間使用可ではない,8時30分,21時,"月火水木金
土日",収納ボックスから取り出す。年末年始12/28〜1/3は使用不可。,外部の使用も認める,35.61706867,139.5418628,,,
418,東生田小学校,1階職員室入口,214-0032,多摩区枡形4-9-1,365日24時間使用可ではない,8時25分,21時00分,"月火水木金
土日",施設開放を実施していない平日の利用時間は１７時まで。土日祝日は施設開放利用している時間のみ利用可。,外部の使用も認める,35.61606089,139.550778,,,
419,長沢小学校,職員玄関前,215-0012,麻生区東百合丘2-24-7,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",施設開放を実施していない場合の利用時間は19時まで(わくわくプラザは19時まで稼業),外部の使用も認める,35.59757253,139.5280933,,,
420,柿生小学校,体育館出入口,215-0023,麻生区片平3-3-1,365日24時間使用可ではない,8時30分,２１時,月火水木金,施設開放を実施していない利用時間は１７時まで,外部の使用も認める,35.59086303,139.4951134,,,
421,金程小学校,体育館入口,215-0006,麻生区金程2-10-1,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",施設開放で学校施設が使用されている時間帯及び課業日以外は利用不可,外部の使用も認める,35.61181975,139.4995499,,,
422,千代ヶ丘小学校,職員玄関,215-0005,麻生区千代ヶ丘8-9-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.61711778,139.5034671,,,
423,片平小学校,1階職員玄関,215-0023,麻生区片平5-28-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,施設開放を実施していない場合の利用時間は19時まで(わくわくプラザは19時まで稼業),外部の使用も認める,35.59691636,139.4929719,,,
424,王禅寺中央小学校,東昇降口,215-0018,麻生区王禅寺東4-14-1,365日24時間使用可ではない,8時30分,21時,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.58676358,139.5137349,,,
425,真福寺小学校,1F昇降口,215-0014,麻生区白山5-3-1,365日24時間使用可ではない,8時,21時,月火水木金,施設開放を実施していない場合の利用時間は17時まで,外部の使用も認める,35.59032578,139.506478,,,
426,虹ヶ丘小学校,職員室外南入り口,215-0015,麻生区虹ヶ丘1-21-2,365日24時間使用可ではない,8時30分,21時,月火水木金,施設開放を実施していない場合の利用時間は17時まで,外部の使用も認める,35.57893528,139.5209986,,,
427,麻生小学校,1階職員玄関前,215-0021,麻生区上麻生3-24-1,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日","月〜金：17時〜21時　施設開放利用時
土、日：9時〜21時　施設開放利用時
年末年始12月28日〜１月４日まで使用不可",外部の使用も認める,35.60259033,139.5039963,,,
428,向丘小学校,体育館入口横,216-0022,宮前区平1-6-1,365日24時間使用可ではない,8時20分,21時00分,月火水木金,補足：施設開放を実施していない場合の利用時間は１６時５０分まで,外部の使用も認める,35.60022767,139.5763546,,,
429,坂戸小学校,校舎外壁,213-0012,高津区坂戸1-18-1,365日24時間使用可ではない,8時30分,２１時,月火水木金土日,収納ボックスから取り出す,外部の使用も認める,35.59632475,139.6229012,,,
430,川崎小学校,1階職員室前廊下,210-0024,川崎区日進町20-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,お盆時期8/11〜15、学校閉庁日、年末年始12/28〜1/4は使用不可。,外部の使用も認める,35.52476072,139.6952579,,,
431,西野川小学校,昇降口前,216-0043,宮前区野川台3-10-1,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日","平日の利用時間は８時から17時
もしくは施設開放団体利用で正門もしくは裏門が開錠している時間帯のみ利用可",外部の使用も認める,35.57458264,139.6067659,,,
432,殿町小学校,西昇降口横体育館前,210-0821,川崎区殿町1-17-19,365日24時間使用可ではない,8時30分,21時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.53757944,139.7453102,,,
433,向小学校,職員室校庭側,210-0834,川崎区大島4-17-1,365日24時間使用可ではない,8時,21時00分,"月火水木金
土日",施設開放登録団体責任者による対応,外部の使用も認める,35.524249,139.7153637,,,
434,小田小学校,１階体育館前通路の校舎側壁,210-0846,川崎区小田4-12-24,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",施設開放実施無しの利用時間は１７時まで、土日は施設開放団体責任者対応,外部の使用も認める,35.51139444,139.7024695,,,
435,大島小学校,1階職員玄関外部入り口,210-0851,川崎区浜町1-5-1,365日24時間使用可,-,-,-,"・門が施錠されている場合は乗り越える。
・監視カメラは２４時間作動。",外部の使用も認める,35.51691381,139.7175594,,,
436,東大島小学校,1階吹き抜け,210-0834,川崎区大島5-25-1,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",土日の利用開始時間は9:00から。平日17:00〜，土日9:00‾21:00は施設開放登録団体責任者による対応。年末年始12/29‾1/3は使用不可　土日及び夜間18:00〜施設開放登録団体が活動していない時は使用不可,外部の使用も認める,35.52352681,139.7196844,,,
437,京町小学校,1階正面玄関,210-0848,川崎区京町1-1-4,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.51943131,139.6923249,,,
438,新町小学校,1階ピロティ,210-0844,川崎区渡田新町3-15-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.51810189,139.7007324,,,
439,浅田小学校,１階職員玄関,210-0847,川崎区浅田2-11-21,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.50705017,139.7029002,,,
440,旭町小学校,1階職員玄関脇,210-0808,川崎区旭町2-2-1,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",課業時間・施設開放利用時間は使用できる。12/29〜1/4は使用不可。,外部の使用も認める,35.53210442,139.7148452,,,
441,宮前小学校,職員玄関外,210-0012,川崎区宮前町8-13,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.52875203,139.7059961,,,
442,古市場小学校,保健室前,212-0052,幸区古市場1-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,施設開放を実施していない場合の利用時間は１７時まで,外部の使用も認める,35.55529472,139.6863345,,,
443,南河原小学校,昇降口横（体育館前通路）,212-0021,幸区都町18,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",施設開放を実施していない場合は17時まで　施設開放を実施指定に土日及び学校閉庁日は使用不可,外部の使用も認める,35.53781086,139.6905329,,,
444,下平間小学校,職員玄関入り口,212-0053,幸区下平間175,365日24時間使用可ではない,8時00分,21時00分,月火水木金,施設開放を実施していない場合の利用時間は１７時まで。,外部の使用も認める,35.54941181,139.6790625,,,
445,戸手小学校,１階校舎壁面,212-0023,幸区戸手本町1-165,365日24時間使用可ではない,8時30分,17時00分,月火水木金土日,・門が施錠されている場合は乗り越える。・監視カメラは２４時間作動。,外部の使用も認める,35.54255722,139.6855241,,,
446,御幸小学校,校務センター校庭側壁面,212-0006,幸区遠藤町1,365日24時間使用可ではない,8時30分,17時00分,月火水木金　土日,平日１７時以降及び土日祝については、施設開放団体の利用がない場合は使用不可。,外部の使用も認める,35.54338183,139.6919375,,,
447,西御幸小学校,1階ピロティ,212-0004,幸区小向西町4-30,365日24時間使用可ではない,8時30分,21時,月火水木金,施設開放を実施していない場合は17時。,外部の使用も認める,35.54613972,139.6886616,,,
448,小倉小学校,2階職員玄関,212-0054,幸区小倉2-20-1,365日24時間使用可ではない,8時25分,16時55分,月火水木金,夜間施設開放を実施している場合は２１時まで使用可。年末〜年始は使用不可。,外部の使用も認める,35.54136389,139.6653723,,,
449,日吉小学校,1階保健室前（屋外）,212-0057,幸区北加瀬1-37-1,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",平日１７時以降及び土日祝については、施設開放団体の利用がない場合は使用不可。,外部の使用も認める,35.54780194,139.6692763,,,
450,夢見ヶ崎小学校,体育館前通路,212-0055,幸区南加瀬2-13-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金土日,施設開放を実施していない場合は門の鍵があれば利用可能,外部の使用も認める,35.54781619,139.6625648,,,
451,新小倉小学校,職員室,212-0031,川崎市幸区新小倉 2 番 15 号,365日24時間使用可ではない,8時15分,16時45分,月火水木金,年末年始１２/２９〜1/３、学校閉庁日は使用不可,外部の使用も認める,35.5407497,139.6733146,,,
452,下河原小学校,１階中学年昇降口,211-0013,中原区上平間585,365日24時間使用可ではない,8時30分,17時00分,月火水木金,毎週水曜木曜の夜間施設開放を実施している場合は２１時まで使用可。年末〜年始は使用不可。,外部の使用も認める,35.55766922,139.681437,,,
453,下沼部小学校,1階職員玄関,211-0011,中原区下沼部1955,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.57308325,139.6704572,,,
454,井田小学校,1階体育館前,211-0034,中原区井田中ノ町29-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.56395489,139.645813,,,
455,今井小学校,1Fピロティ,211-0066,中原区今井西町3-18,365日24時間使用可ではない,8時30分,17時00分,月火水木金,年末年始１２/２８〜1/４、学校閉庁日は使用不可,外部の使用も認める,35.57636319,139.6493348,,,
456,東住吉小学校,1階正面玄関,211-0021,中原区木月住吉町1-11,365日24時間使用可ではない,8時30分,21時00分,月火水木金,施設開放を実施していない場合の利用は17時まで,外部の使用も認める,35.56962789,139.6571086,,,
457,木月小学校,校舎〜体育館　渡り廊下,211-0025,中原区木月4-53-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金土日,"年末年始１２/２９〜1/３、学校閉庁日は使用不可
施設開放を実施していない場合の利用時間は17時まで
",外部の使用も認める,35.55760717,139.6556308,,,
458,玉川小学校,１階昇降口横,211-0015,中原区北谷町32,365日24時間使用可ではない,8時30分,17時00分,月火水木金,門の鍵があれば利用可能,外部の使用も認める,35.56371536,139.6726803,,,
459,上丸子小学校,職員室外壁,211-0001,中原区上丸子八幡町815,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日 ",使用可能な曜日でもAEDを利用できない場合があります。,外部の使用も認める,35.57933047,139.6642588,,,
460,西丸子小学校,１階職員室出入り口,211-0062,中原区小杉陣屋町2-19-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.58672672,139.6548773,,,
461,柿生小学校,職員室校庭側出入口,215-0023,麻生区片平3-3-1,365日24時間使用可ではない,8時30分,17時,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.59086303,139.4951134,,,
462,東門前小学校,アリーナ棟1階開放玄関,210-0812,川崎区東門前3-4-6,365日24時間使用可ではない,8時00分,17時00分,月火水木金土日,課業時間・施設開放利用時間は使用できる。,外部の使用も認める,35.53629875,139.7354037,,,
463,東柿生小学校,1階職員室前,215-0018,麻生区王禅寺東6-3-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.57909411,139.5106466,,,
464,西生田小学校,ピロティ脇,215-0001,麻生区細山2-2-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,収納ボックスから取り出す。土曜日はわくわくプラザ開設時間内であれば通用門は施錠されていないので使用可能。日曜日、祝祭日、閉庁日、年末年始12月29日〜1月3日は通用門を施錠しているので、使用は難しい。,外部の使用も認める,35.61694569,139.5192519,,,
465,南百合丘小学校,西昇降口,215-0017,麻生区王禅寺西1-26-1,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",閉庁日は使用不可。施設開放を実施していない日は１７時まで。,外部の使用も認める,35.59954839,139.5130348,,,
466,栗木台小学校,2階職員室外階段,215-0032,麻生区栗木台5-15-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.61161833,139.4769604,,,
467,四谷小学校,校庭　図書室そば,210-0827,川崎区四谷下町4-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.52678178,139.7376714,,,
468,大師小学校,職員玄関,210-0812,川崎区東門前2-6-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.53359183,139.7354856,,,
469,川中島小学校,1階西昇降口,210-0803,川崎区川中島2-4-19,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",土日は施設開放を実施している時間帯のみ利用可。施設開放を実施しない平日は17時00分まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.53105594,139.7259571,,,
470,藤崎小学校,1階職員室前廊下,210-0804,川崎区藤崎3-2-1,365日24時間使用可ではない,8時25分,16時55分,月火水木金,平日でもAEDを利用できない場合があります。,施設利用者・職員のみ,35.52554817,139.7252451,,,
471,さくら小学校,職員室入口校庭側,210-0833,川崎区桜本1-9-15,365日24時間使用可ではない,8時30分,21時00分,月火水木金,施設開放を実施していない場合の利用時間は17時まで,外部の使用も認める,35.52062086,139.7219702,,,
472,渡田小学校,職員玄関,210-0853,川崎区田島町14-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.51622969,139.7097352,,,
473,東小田小学校,1階体育館脇校舎壁面,210-0846,川崎区小田5-11-20,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.51215811,139.7070079,,,
474,田島小学校,1階職員室校庭側出入口付近,210-0837,川崎区渡田1-20-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,施設開放が18時〜２１時のため、１７時〜１８時は使用不可。施設開放を実施していない場合の利用は17時まで。,外部の使用も認める,35.52192969,139.7083028,,,
475,東小倉小学校,1階西昇降口脇,212-0033,幸区東小倉1-1,365日24時間使用可ではない,8時20分,16時50分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.54703,139.67467,,,
476,幸町小学校,１階職員玄関入口,212-0012,幸区中幸町2-17,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.53822567,139.6939274,,,
477,古川小学校,ピロティ新校舎体育館通路,212-0025,幸区古川町70,365日24時間使用可ではない,8時20分,21時00分,月火水木金土日,平日16:50以降及び土日祝、学校閉庁日は、施設開放団体の利用がない場合、校門が施錠されているため使用不可。,外部の使用も認める,35.54644861,139.6811204,,,
478,南加瀬小学校,体育館前通路,212-0055,幸区南加瀬4-24-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日１７時以降及び土日祝については、施設開放団体の利用がない場合は使用不可。,外部の使用も認める,35.54302381,139.6595855,,,
479,梶ケ谷小学校,体育館入り口（東側）,213-0015,高津区梶ケ谷4-12,365日24時間使用可ではない,8時25分,21時00分,月火水木金　土日,施設開放を実施していない場合は16:55まで,外部の使用も認める,35.586163,139.6041456,,,
