台帳番号,設置場所,設置位置,郵便番号,住所,24時間365日利用可能か,利用開始時間,利用終了時間,使用可能な曜日,使用可能日・使用可能時間帯の補足,使用対象者の範囲,緯度,経度,,,
79,大師老人いこいの家,受付,210-0815,川崎区大師公園1-4,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.53247336,139.7333671,,,
80,小田老人いこいの家,受付,210-0846,川崎区小田2-16-9,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.514352,139.7018571,,,
81,藤崎老人いこいの家,受付,210-0804,川崎区藤崎4-17-6,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.52507508,139.7217175,,,
82,田島老人いこいの家,受付,210-0853,川崎区田島町20-23,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.51568714,139.7116498,,,
83,大島老人いこいの家,受付,210-0834,川崎区大島1-9-6,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.52612397,139.7114757,,,
84,桜本老人いこいの家,受付,210-0833,川崎区桜本2-5-2,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.52149731,139.7228887,,,
85,京町老人いこいの家,受付,210-0848,川崎区京町3-12-2,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.51055397,139.6976734,,,
86,渡田老人いこいの家,受付,210-0837,川崎区渡田4-12-20,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.51706375,139.7052221,,,
87,殿町老人いこいの家,受付,210-0821,川崎区殿町1-20-15,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.53872297,139.7458494,,,
88,御幸老人いこいの家,受付,212-0026,幸区紺屋町33-1,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.54262556,139.6899198,,,
89,日吉老人いこいの家,受付,212-0057,幸区北加瀬1-39-5,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.5471345,139.6691671,,,
90,南河原老人いこいの家,受付,212-0016,幸区南幸町1-11,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.53518142,139.6906805,,,
